2026-01-21T08:37:06.119Z,i wish i could remove whatever blocks people from chasing their wildest dreams
2026-01-21T15:41:15.870Z,i wish i didn’t procrastinate
2026-01-21T15:46:28.946Z,My ED
2026-01-21T15:48:16.816Z,getting my ex back
2026-01-21T22:05:39.505Z,Revolution
2026-01-22T02:46:21.722Z,homosexuality
2026-01-22T15:32:27.319Z,type your answer here
2026-01-22T18:32:30.328Z,everything
2026-01-22T19:03:41.551Z,Offline
2026-01-22T19:04:50.328Z,I wish I could solve my anxiety about making good art
2026-01-22T19:05:37.200Z,offline
2026-01-22T19:05:54.528Z,offline
2026-01-22T19:07:06.935Z,offline
2026-01-22T19:17:09.051Z,Offline
2026-01-22T19:19:39.820Z,Offline
2026-01-22T19:39:44.539Z,Offline
2026-01-22T19:42:02.595Z,Running out of time
2026-01-22T19:49:58.299Z,My happiness
2026-01-22T20:02:46.574Z,so many
2026-01-22T20:33:43.613Z,"maybe a bit selfish because i know some people would say something that would help the world, but i really wish i could figure out how to ever get closure from an ex girlfriend who won't talk to me and two years later blocked an old account of mine. maybe she still thinks of me but i wish instead she would talk to me."
2026-01-22T20:35:49.278Z,sadness
2026-01-22T20:38:55.608Z,World hunger
2026-01-22T20:41:23.842Z,How to get her out my head
2026-01-22T20:44:16.372Z,gooning
2026-01-22T20:50:52.323Z,Homelessness
2026-01-22T21:11:18.990Z,Hunger
2026-01-22T21:20:34.511Z,my personal bad eating habits
2026-01-22T21:25:18.575Z,Rambo
2026-01-22T21:29:51.648Z,laziness
2026-01-22T21:31:07.233Z,nothing
2026-01-22T22:05:51.438Z,offline
2026-01-22T22:09:00.583Z,i want to go offline
2026-01-22T22:09:19.861Z,who am i
2026-01-22T22:22:39.419Z,hidden
2026-01-22T22:43:12.257Z,War
2026-01-22T22:45:45.946Z,-
2026-01-22T22:49:06.021Z,I need password
2026-01-22T22:51:09.811Z,genocide
2026-01-22T22:51:31.825Z,Debt
2026-01-22T22:58:44.228Z,Wealth disparity in america
2026-01-22T23:01:08.150Z,me
2026-01-22T23:03:34.903Z,Nothing
2026-01-22T23:06:46.267Z,time
2026-01-22T23:07:33.376Z,Debt
2026-01-22T23:14:17.056Z,Hate
2026-01-22T23:15:29.836Z,An app that reminds you to cancel free trials before you get charged
2026-01-22T23:16:52.007Z,inflation
2026-01-22T23:22:30.077Z,My parents divorce
2026-01-22T23:22:41.167Z,My Balmain jeans are too tight
2026-01-22T23:25:37.664Z,rambo
2026-01-22T23:25:56.756Z,"Math problems, I wish I was better at math :,/"
2026-01-22T23:26:47.714Z,cancer
2026-01-22T23:27:23.906Z,"overconsumption within the fashion industry, synthetic fibers, fuck em all natural fibers FOREVER"
2026-01-22T23:29:46.032Z,Anger issues and feeling like I’m wasting my life or world hunger
2026-01-22T23:39:22.914Z,any of my own
2026-01-22T23:39:54.533Z,Make my new coworker nicer
2026-01-23T00:32:33.052Z,Taking Nicks job
2026-01-23T00:45:16.411Z,Munny
2026-01-23T00:48:48.952Z,Life
2026-01-23T00:52:34.897Z,67
2026-01-23T01:19:58.801Z,poverty
2026-01-23T01:27:08.240Z,America
2026-01-23T01:33:52.069Z,Jealousy
2026-01-23T01:35:10.626Z,The housing crisis
2026-01-23T02:08:53.087Z,world peace
2026-01-23T02:32:35.504Z,confusion
2026-01-23T03:03:21.010Z,Homeless
2026-01-23T03:22:49.138Z,i wanth clohts
2026-01-23T03:26:10.693Z,The lack of Honor.
2026-01-23T03:29:59.957Z,dream
2026-01-23T03:30:10.027Z,dream
2026-01-23T03:46:23.865Z,peace
2026-01-23T03:49:18.866Z,My posture honestly
2026-01-23T03:49:46.900Z,My music not being popular
2026-01-23T03:49:56.668Z,Israel
2026-01-23T03:58:45.383Z,Indecisiveness
2026-01-23T04:09:31.312Z,rambo
2026-01-23T04:14:54.693Z,rambo
2026-01-23T04:17:29.419Z,rambo
2026-01-23T04:35:49.586Z,Dementia
2026-01-23T05:17:12.954Z,unemployment
2026-01-23T05:25:29.895Z,People not being loved
2026-01-23T05:34:36.599Z,Offline
2026-01-23T05:40:04.471Z,Rambo
2026-01-23T05:51:44.228Z,Doink
2026-01-23T06:22:30.214Z,Purpose
2026-01-23T06:30:19.723Z,Addiction
2026-01-23T06:30:58.693Z,Daddy issues.
2026-01-23T06:43:55.870Z,my hunger
